# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: sbreak.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00001000   ---        --------
               6   N   00001000   0000e101   00001004   x10_a0     00000000
               7   N   00001004   00004e01   00001006   ---        --------
               8   N   00001006   fffff297   00001008   x28_t3     00000000
               9   N   00001008   6b828293   0000100c   x05_t0     00000008
              10   N   0000100c   30529073   00001010   x05_t0     000006c0
              11   N   00001010   00004505   00001014   ---        --------
              12   N   00001014   0000057e   00001016   x10_a0     00000001
              13   N   00001016   00054863   00001018   x10_a0     80000000
              14   N   00001018   0ff0000f   00001028   ---        --------
              17   N   00001028   00028d63   0000102c   x05_t0     00000000
              18   N   0000102c   10529073   00001046   ---        --------
              22   N   00001046   00006509   0000104a   ---        --------
              23   N   0000104a   00006509   0000104a   ---        --------
              24   N   0000104a   80050513   0000104c   x10_a0     00002000
              25   N   0000104c   30052073   00001050   x10_a0     00001800
              26   N   00001050   00000297   00001054   ---        --------
              27   N   00001054   00000297   00001054   ---        --------
              28   N   00001054   04028293   00001058   x05_t0     00001054
              29   N   00001058   34129073   0000105c   x05_t0     00001094
              30   N   0000105c   f1402573   00001060   ---        --------
              31   N   00001060   30200073   00001064   x10_a0     00000000
              33   N   00001064   00000001   00001094   ---        --------
              36   N   00001094   00009002   00001096   x28_t3     00000002
              37   E   00001096   0000a019   000006c0   mstatus    00001800
              37   E   00001096   0000a019   000006c0   mepc       00001096
              37   E   00001096   0000a019   000006c0   mcause     00000003
              37   E   00001096   0000a019   000006c0   mtval      00000000
              40   N   000006c0   000047a1   000006c4   x14_a4     00000003
              41   N   000006c4   04f70563   000006c6   x15_a5     00000008
              42   N   000006c6   000047a5   000006ca   ---        --------
              43   N   000006ca   04f70263   000006cc   x15_a5     00000009
              44   N   000006cc   000047ad   000006d0   ---        --------
              45   N   000006d0   02f70f63   000006d2   x15_a5     0000000b
              46   N   000006d2   47ad1717   000006d6   ---        --------
              48   N   000006d6   02f70713   000006da   x14_a4     000016d6
              50   N   000006da   0000c311   000006de   x14_a4     000010b8
              51   N   000006de   00008702   000006e0   ---        --------
              52   N   000006e0   34202773   000010b8   ---        --------
              55   N   000010b8   342022f3   000010ba   x06_t1     00000003
              56   N   000010ba   430d90e3   000010be   x05_t0     00000003
              58   N   000010be   34200317   000010c2   ---        --------
              60   N   000010c2   fe620313   000010c6   x06_t1     000010c2
              62   N   000010c6   000022f3   000010ca   x06_t1     00001096
              64   N   000010ca   fd4398e3   000010ce   x05_t0     00001096
              66   N   000010ce   0000bfe1   000010d2   ---        --------
              67   N   000010d2   00000073   000010aa   ---        --------
              71   N   000010aa   000085f2   000010ae   ---        --------
              72   N   000010ae   00004501   000010b0   x11_a1     00000002
              73   N   000010b0   00000073   000010b2   x10_a0     00000000
              74   E   000010b2   00000001   000006c0   mstatus    00001800
              74   E   000010b2   00000001   000006c0   mepc       000010b2
              74   E   000010b2   00000001   000006c0   mcause     0000000b
              74   E   000010b2   00000001   000006c0   mtval      00000000
              77   N   000006c0   000047a1   000006c4   x14_a4     0000000b
              78   N   000006c4   04f70563   000006c6   x15_a5     00000008
              79   N   000006c6   000047a5   000006ca   ---        --------
              80   N   000006ca   04f70263   000006cc   x15_a5     00000009
              81   N   000006cc   000047ad   000006d0   ---        --------
              82   N   000006d0   02f70f63   000006d2   x15_a5     0000000b
              83   N   000006d2   47ad1717   00000710   ---        --------
              86   N   00000710   00000000   000010e0   ---        --------
              89   N   000010e0   01428293   000010e4   x05_t0     000000e0
              90   N   000010e4   00008282   000010e8   x05_t0     000000f4
              91   N   000010e8   00000013   000000f4   ---        --------
              94   N   000000f4   0000006f   000000f8   ---        --------
              95   N   000000f8   ffffffff   000000f8   ---        --------
